feature,importance
temperature,0.004106734413653612
dew_point,0.004619275219738483
pressure,0.0026627234183251858
rain,0.005767536349594593
wind_speed,0.010717811994254589
temp_pres_interaction,0.0054895649664103985
dew_point_spread,0.014311671257019043
rain_binary,0.0
area_type,0.00341842882335186
hour_sin,0.005964925978332758
hour_cos,0.005037497263401747
month_sin,0.003759530372917652
month_cos,0.0077331531792879105
season,0.003837370313704014
day_of_week,0.00197359430603683
month,0.006848669610917568
year,0.006191678810864687
pm25_lag_1h,0.8778635859489441
pm25_lag_3h,0.005386624485254288
pm25_lag_6h,0.0053377519361674786
pm25_lag_12h,0.0029828338883817196
pm25_lag_18h,0.004900241736322641
pm25_roll_3h_mean,0.003915585111826658
pm25_roll_6h_mean,0.002694695722311735
pm25_roll_12h_mean,0.0016054658917710185
pm25_roll_18h_mean,0.0028731042984873056
