,feature,importance
0,temperature,0.0062286148397952745
1,dew_point,0.018618418077706377
2,pressure,0.006070430277766449
3,rain,0.0008432785374197759
4,wind_speed,0.007951739659522616
5,temp_pres_interaction,0.005838228794660639
6,dew_point_spread,0.02381665747096803
7,rain_binary,0.0005621019357965152
8,relative_humidity,0.022995929301160678
9,hour_sin,0.005371437254938184
10,hour_cos,0.003295332977037197
11,month_sin,0.002531298722008364
12,month_cos,0.005150802506107848
13,season,0.0017801566187187151
14,day_of_week,0.002605020018042251
15,month,0.0032570559786619106
16,year,0.0015186581923462652
17,pm25_lag_1h,0.446156863475372
18,pm25_lag_3h,0.23177150984092976
19,pm25_lag_6h,0.09205154634564823
20,pm25_lag_12h,0.0763206031480169
21,pm25_lag_18h,0.02462070050088253
22,pm25_roll_3h_mean,0.002595223833281148
23,pm25_roll_6h_mean,0.0026735023372425697
24,pm25_roll_12h_mean,0.002705420111748891
25,pm25_roll_18h_mean,0.0026694692442209814
